"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.990416634E-4,-8.292755127E-2,6.945556641E-2,9.810299377E0
1.078504167E-2,-6.451583862E-2,6.945556641E-2,9.721983032E0
2.077104166E-2,-7.529342651E-2,7.334747314E-2,9.800569611E0
3.075704166E-2,-7.514373779E-2,7.155120850E-2,9.771230621E0
4.074304167E-2,-8.143066406E-2,7.918533325E-2,9.793234863E0
5.072904166E-2,-6.646179199E-2,8.442443848E-2,9.799970856E0
6.071504166E-2,-7.334747314E-2,7.978408813E-2,9.788744202E0
7.070104167E-2,-6.301895142E-2,7.529342651E-2,9.795180817E0
8.068704166E-2,-8.023315430E-2,7.394622803E-2,9.797875214E0
9.067304166E-2,-7.484436035E-2,7.304809570E-2,9.798324280E0
1.006590417E-1,-7.589218140E-2,9.580078125E-2,9.789342957E0
1.106460417E-1,-7.933502197E-2,7.679031372E-2,9.784253540E0
1.206320417E-1,-7.813751221E-2,7.783813477E-2,9.803862762E0
1.306180417E-1,-7.903564453E-2,7.604187012E-2,9.814939728E0
1.406040417E-1,-6.900650024E-2,8.397537231E-2,9.794282684E0
1.505900417E-1,-7.753875732E-2,8.382568359E-2,9.780511322E0
1.605760417E-1,-8.996292114E-2,8.083190918E-2,9.787247314E0
1.705620417E-1,-8.666976929E-2,7.170089722E-2,9.786349182E0
1.805480417E-1,-7.963439941E-2,6.286926270E-2,9.784403229E0
1.905340417E-1,-6.960525513E-2,7.424560547E-2,9.788444824E0
2.005200417E-1,-7.843688965E-2,7.918533325E-2,9.796228638E0
2.105060417E-1,-8.771759033E-2,7.544311523E-2,9.795480194E0
2.204920417E-1,-8.068222046E-2,8.502319336E-2,9.788744202E0
2.304790417E-1,-7.679031372E-2,7.574249268E-2,9.802665253E0
2.404650417E-1,-6.256988525E-2,7.214996338E-2,9.792785797E0
2.504510417E-1,-7.409591675E-2,8.846603394E-2,9.795480194E0
2.604370417E-1,-6.466552734E-2,7.873626709E-2,9.790839844E0
2.704230417E-1,-8.217910767E-2,7.469467163E-2,9.799671478E0
2.804090417E-1,-8.592132568E-2,8.098159790E-2,9.776020660E0
2.903950417E-1,-7.723937988E-2,8.337661743E-2,9.805209961E0
3.003810417E-1,-7.125183105E-2,6.990463257E-2,9.815239105E0
3.103670417E-1,-7.080276489E-2,7.244934082E-2,9.793085175E0
3.203530417E-1,-7.110214233E-2,8.921447754E-2,9.794731750E0
3.303390417E-1,-8.292755127E-2,8.397537231E-2,9.799521790E0
3.403250417E-1,-7.125183105E-2,7.888595581E-2,9.799671478E0
3.503120417E-1,-7.768844604E-2,6.242019653E-2,9.796078949E0
3.602980417E-1,-7.005432129E-2,8.637039185E-2,9.785600739E0
3.702840417E-1,-7.424560547E-2,7.933502197E-2,9.791139221E0
3.802700417E-1,-7.349716187E-2,7.679031372E-2,9.790390778E0
3.902560417E-1,-7.005432129E-2,7.858657837E-2,9.784702606E0
4.002420417E-1,-8.517288208E-2,8.741821289E-2,9.800569611E0
4.102280417E-1,-8.113128662E-2,6.691085815E-2,9.796078949E0
4.202140417E-1,-5.239105225E-2,8.217910767E-2,9.791887665E0
4.302000417E-1,-7.708969116E-2,6.840774536E-2,9.803563385E0
4.401860417E-1,-8.083190918E-2,7.499404907E-2,9.804162140E0
4.501720417E-1,-7.349716187E-2,8.083190918E-2,9.794881439E0
4.601580417E-1,-8.247848511E-2,7.349716187E-2,9.799372101E0
