"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.078504167E-2,-7.667036357E-2,8.046661352E-2,9.809370255E0
2.077104166E-2,-7.677578704E-2,8.055271377E-2,9.809369085E0
3.075704166E-2,-7.684620031E-2,8.058601549E-2,9.809367916E0
4.074304167E-2,-7.690783362E-2,8.058183108E-2,9.809367331E0
5.072904166E-2,-7.694720183E-2,8.054820959E-2,9.809367331E0
6.071504166E-2,-7.696851675E-2,8.057808520E-2,9.809367331E0
7.070104167E-2,-7.694534716E-2,8.061857717E-2,9.809366747E0
8.068704166E-2,-7.693022663E-2,8.063557064E-2,9.809366747E0
9.067304166E-2,-7.691303216E-2,8.060679138E-2,9.809367331E0
1.006590417E-1,-7.695014371E-2,8.057605695E-2,9.809367331E0
1.106460417E-1,-7.691998486E-2,8.062078815E-2,9.809367331E0
1.206320417E-1,-7.690083523E-2,8.058438923E-2,9.809367331E0
1.306180417E-1,-7.691871492E-2,8.057855115E-2,9.809367331E0
1.406040417E-1,-7.698551022E-2,8.058639921E-2,9.809366747E0
1.505900417E-1,-7.692069749E-2,8.058448973E-2,9.809367331E0
1.605760417E-1,-7.686979017E-2,8.067521294E-2,9.809367331E0
1.705620417E-1,-7.691716176E-2,8.074538866E-2,9.809366162E0
1.805480417E-1,-7.691044659E-2,8.085675985E-2,9.809364992E0
1.905340417E-1,-7.692054218E-2,8.089049097E-2,9.809364992E0
2.005200417E-1,-7.688443562E-2,8.098535291E-2,9.809364408E0
2.105060417E-1,-7.688205105E-2,8.095269986E-2,9.809364408E0
2.204920417E-1,-7.691684199E-2,8.094495230E-2,9.809364408E0
2.304790417E-1,-7.687373704E-2,8.093408014E-2,9.809364992E0
2.404650417E-1,-7.691168913E-2,8.094381941E-2,9.809364408E0
2.504510417E-1,-7.696821526E-2,8.094455031E-2,9.809363823E0
2.604370417E-1,-7.700430354E-2,8.095477380E-2,9.809363823E0
2.704230417E-1,-7.702968411E-2,8.099448005E-2,9.809363238E0
2.804090417E-1,-7.706122253E-2,8.106039827E-2,9.809362653E0
2.903950417E-1,-7.705808879E-2,8.104593555E-2,9.809362653E0
3.003810417E-1,-7.706194430E-2,8.103088810E-2,9.809362653E0
3.103670417E-1,-7.699589817E-2,8.103680841E-2,9.809363238E0
3.203530417E-1,-7.693634793E-2,8.107798560E-2,9.809363238E0
3.303390417E-1,-7.687741896E-2,8.111899833E-2,9.809363238E0
3.403250417E-1,-7.685377428E-2,8.114202174E-2,9.809363238E0
3.503120417E-1,-7.681990611E-2,8.115330504E-2,9.809363238E0
3.602980417E-1,-7.688139324E-2,8.119789006E-2,9.809362653E0
3.702840417E-1,-7.690094487E-2,8.121916845E-2,9.809362069E0
3.802700417E-1,-7.689998556E-2,8.127595953E-2,9.809362069E0
3.902560417E-1,-7.692988859E-2,8.124887961E-2,9.809362069E0
4.002420417E-1,-7.691118663E-2,8.129002939E-2,9.809361484E0
4.102280417E-1,-7.694213119E-2,8.133752888E-2,9.809360899E0
4.202140417E-1,-7.695269273E-2,8.135186370E-2,9.809360899E0
4.302000417E-1,-7.699389732E-2,8.135307882E-2,9.809360315E0
4.401860417E-1,-7.692981550E-2,8.134079053E-2,9.809360899E0
4.501720417E-1,-7.703374975E-2,8.140471704E-2,9.809359730E0
4.601580417E-1,-7.710955342E-2,8.145626390E-2,9.809358560E0
4.701440417E-1,-7.711409415E-2,8.147379641E-2,9.809358560E0
4.801310417E-1,-7.713294229E-2,8.149450835E-2,9.809357976E0
4.901170417E-1,-7.704367175E-2,8.144731949E-2,9.809359145E0
5.001030417E-1,-7.698017464E-2,8.146929223E-2,9.809359730E0
5.100890417E-1,-7.705824411E-2,8.145111104E-2,9.809359145E0
5.200750417E-1,-7.708149592E-2,8.151577760E-2,9.809358560E0
5.300610417E-1,-7.710273776E-2,8.153641644E-2,9.809357976E0
5.400470417E-1,-7.712102858E-2,8.151558573E-2,9.809357976E0
5.500330417E-1,-7.714203288E-2,8.156463839E-2,9.809357391E0
5.600190417E-1,-7.720872768E-2,8.157059524E-2,9.809356806E0
5.700050417E-1,-7.725311170E-2,8.159836952E-2,9.809356222E0
5.799910417E-1,-7.723709581E-2,8.151586896E-2,9.809357391E0
5.899770417E-1,-7.722803263E-2,8.151183072E-2,9.809357391E0
5.999640417E-1,-7.720373014E-2,8.158300230E-2,9.809356806E0
6.099500417E-1,-7.716856462E-2,8.158515846E-2,9.809357391E0
6.199360417E-1,-7.719629321E-2,8.161412959E-2,9.809356806E0
6.299220417E-1,-7.725416237E-2,8.163408321E-2,9.809356222E0
6.399080417E-1,-7.726900882E-2,8.165162486E-2,9.809355637E0
6.498940417E-1,-7.726120644E-2,8.175932326E-2,9.809355052E0
6.598800417E-1,-7.716809867E-2,8.182538766E-2,9.809355052E0
6.698660417E-1,-7.711460578E-2,8.184695841E-2,9.809355637E0
6.798520417E-1,-7.715197315E-2,8.180092986E-2,9.809355637E0
6.898380417E-1,-7.719647594E-2,8.185053069E-2,9.809355052E0
6.998240417E-1,-7.719226412E-2,8.181563926E-2,9.809355052E0
7.098100417E-1,-7.718686458E-2,8.175026922E-2,9.809355637E0
7.197970417E-1,-7.717598327E-2,8.174312465E-2,9.809355637E0
7.297830417E-1,-7.720100753E-2,8.175265378E-2,9.809355637E0
7.397690417E-1,-7.721938971E-2,8.183114352E-2,9.809355052E0
7.497550417E-1,-7.718267103E-2,8.183662528E-2,9.809355052E0
7.597410417E-1,-7.716412439E-2,8.181402214E-2,9.809355052E0
7.697270417E-1,-7.715731787E-2,8.187387387E-2,9.809355052E0
7.797130417E-1,-7.717956469E-2,8.188008654E-2,9.809354467E0
7.896990417E-1,-7.716513852E-2,8.193075632E-2,9.809354467E0
7.996850417E-1,-7.715170819E-2,8.193652131E-2,9.809354467E0
8.096710417E-1,-7.722082411E-2,8.197240859E-2,9.809353298E0
8.196552917E-1,-7.725664744E-2,8.196070503E-2,9.809353298E0
8.296412917E-1,-7.727814510E-2,8.197009712E-2,9.809353298E0
8.396272917E-1,-7.725217980E-2,8.200514386E-2,9.809353298E0
8.496142917E-1,-7.721688638E-2,8.210045348E-2,9.809352713E0
8.596002917E-1,-7.716643587E-2,8.210401663E-2,9.809352713E0
8.695862917E-1,-7.714261760E-2,8.202731760E-2,9.809353883E0
8.795722917E-1,-7.711928356E-2,8.198666118E-2,9.809354467E0
8.895582917E-1,-7.714381445E-2,8.194613267E-2,9.809354467E0
8.995442917E-1,-7.709401262E-2,8.197110211E-2,9.809354467E0
9.095302917E-1,-7.720798764E-2,8.203508344E-2,9.809353298E0
9.195162917E-1,-7.729809872E-2,8.207896496E-2,9.809352129E0
9.295022917E-1,-7.728803968E-2,8.203202278E-2,9.809352713E0
9.394882917E-1,-7.726989504E-2,8.205770485E-2,9.809352713E0
9.494742917E-1,-7.729662778E-2,8.201292797E-2,9.809352713E0
9.594602917E-1,-7.741422990E-2,8.199493865E-2,9.809352129E0
9.694472917E-1,-7.741026476E-2,8.196673497E-2,9.809352129E0
9.794332917E-1,-7.746019450E-2,8.192156523E-2,9.809352129E0
9.894192917E-1,-7.753706711E-2,8.201984413E-2,9.809350959E0
9.994052917E-1,-7.762049044E-2,8.201112812E-2,9.809350374E0
1.009391292E0,-7.758710649E-2,8.199277335E-2,9.809350374E0
1.019377292E0,-7.756739041E-2,8.196177397E-2,9.809350959E0
1.029363292E0,-7.759902019E-2,8.191923548E-2,9.809350959E0
1.039349292E0,-7.762997389E-2,8.194183862E-2,9.809350374E0
1.049335292E0,-7.763080529E-2,8.197508552E-2,9.809350374E0
1.059321292E0,-7.762109343E-2,8.202885250E-2,9.809349790E0
1.069307292E0,-7.757011302E-2,8.200564636E-2,9.809350374E0
1.079293292E0,-7.756009966E-2,8.196409458E-2,9.809350959E0
1.089279292E0,-7.760939900E-2,8.195288437E-2,9.809350959E0
1.099266292E0,-7.759182081E-2,8.187359978E-2,9.809351544E0
1.109252292E0,-7.752748316E-2,8.183058620E-2,9.809352129E0
1.119238292E0,-7.748658006E-2,8.184714113E-2,9.809352713E0
1.129224292E0,-7.747912486E-2,8.190178519E-2,9.809352129E0
1.139210292E0,-7.744707481E-2,8.192143732E-2,9.809352129E0
1.149196292E0,-7.748028517E-2,8.190662742E-2,9.809352129E0
1.159182292E0,-7.742197746E-2,8.193156031E-2,9.809352129E0
1.169168292E0,-7.743152487E-2,8.195988276E-2,9.809352129E0
1.179154292E0,-7.748810582E-2,8.195898741E-2,9.809351544E0
1.189140292E0,-7.750296140E-2,8.204455775E-2,9.809350959E0
1.199126292E0,-7.744762299E-2,8.207165594E-2,9.809350959E0
1.209112292E0,-7.738417156E-2,8.209576657E-2,9.809351544E0
1.219099292E0,-7.742284541E-2,8.204516988E-2,9.809351544E0
1.229085292E0,-7.744532978E-2,8.196208460E-2,9.809352129E0
1.239071292E0,-7.747087481E-2,8.202187238E-2,9.809350959E0
1.249057292E0,-7.751021560E-2,8.200672444E-2,9.809350959E0
1.259043292E0,-7.751767994E-2,8.191601037E-2,9.809351544E0
1.269029292E0,-7.751661099E-2,8.184021584E-2,9.809352129E0
