"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.078504167E-2,-2.094632946E-4,8.149701171E-4,3.097885929E-4
2.077104166E-2,2.149032196E-3,3.787442110E-4,7.236438105E-4
3.075704166E-2,-1.424828079E-4,7.156706415E-4,9.144026553E-4
4.074304167E-2,5.645531928E-5,1.044837292E-3,5.623328034E-4
5.072904166E-2,-1.035379013E-3,-3.263894469E-4,2.601649903E-4
6.071504166E-2,1.444290276E-3,-1.160381362E-5,8.162329905E-4
7.070104167E-2,-2.785047109E-4,-1.664030133E-3,-1.539261895E-3
8.068704166E-2,8.192503010E-4,-3.015566617E-4,9.659737116E-4
9.067304166E-2,-1.791648683E-4,3.173248842E-5,9.268741123E-4
1.006590417E-1,-2.281670459E-4,-3.925091587E-4,2.432406473E-4
1.106460417E-1,1.173103461E-3,3.038290888E-4,1.003399608E-3
1.206320417E-1,-7.662103744E-4,3.448417410E-4,-3.052777320E-4
1.306180417E-1,6.504700286E-5,-1.783547923E-4,3.293485788E-4
1.406040417E-1,7.836282020E-5,8.103717119E-5,-1.589459018E-3
1.505900417E-1,8.464225684E-4,-7.563317195E-5,5.384573014E-4
1.605760417E-1,1.586781349E-3,-8.040077519E-4,-6.958114682E-6
1.705620417E-1,-3.560602199E-4,4.183202982E-4,-3.179657215E-4
1.805480417E-1,8.093391079E-4,6.817071699E-4,-2.280981746E-3
1.905340417E-1,9.062823374E-4,-8.420243394E-4,4.163617268E-5
2.005200417E-1,1.705292379E-5,-2.670479007E-4,-6.567046512E-6
2.105060417E-1,-5.614468828E-4,1.646224409E-4,7.250930648E-4
2.204920417E-1,-2.341443906E-4,9.313463233E-4,6.100444589E-4
2.304790417E-1,8.932822384E-4,1.026527025E-4,-8.873081533E-4
2.404650417E-1,-1.762433094E-4,8.853804320E-5,4.836871522E-4
2.504510417E-1,-2.354926837E-4,1.239450183E-3,4.219618277E-4
2.604370417E-1,3.096564324E-4,-1.302137971E-4,-5.855120253E-4
2.704230417E-1,1.083923853E-3,1.208945177E-3,3.085513308E-4
2.804090417E-1,1.622038544E-4,-1.065394375E-3,-1.750787051E-4
2.903950417E-1,-6.804941222E-5,-3.213444725E-4,2.508988255E-4
3.003810417E-1,-1.990769524E-4,-5.498435348E-4,-3.272781032E-5
3.103670417E-1,2.263725037E-5,4.714406095E-4,1.161775668E-3
3.203530417E-1,-1.538241515E-3,-5.831709132E-4,-6.481086020E-4
3.303390417E-1,5.364842364E-4,1.320701092E-3,1.155540231E-4
3.403250417E-1,1.306670252E-3,-3.933091648E-4,-7.630228065E-4
3.503120417E-1,-2.167233615E-4,8.566305041E-4,1.432340359E-3
3.602980417E-1,3.800910199E-4,5.359859206E-4,7.252711221E-4
3.702840417E-1,1.898818533E-3,-4.159868695E-4,4.441769852E-4
3.802700417E-1,1.816123258E-4,1.094546169E-4,9.134259308E-4
3.902560417E-1,1.569475047E-3,6.509292871E-4,-6.705854321E-4
4.002420417E-1,-4.353526165E-4,-1.187240705E-4,-1.786995708E-4
4.102280417E-1,7.950194995E-4,1.245262101E-4,-4.957764759E-4
4.202140417E-1,4.296337138E-4,3.863149323E-4,2.898560488E-4
4.302000417E-1,6.120523904E-4,4.055327736E-4,-6.227300619E-4
4.401860417E-1,2.056540106E-4,1.001015771E-3,1.866045932E-4
4.501720417E-1,4.209069884E-4,1.305841375E-3,-3.406691249E-4
4.601580417E-1,6.749724853E-4,-3.847335465E-4,-6.898095598E-4
4.701440417E-1,9.189759730E-4,7.390868850E-4,5.781908985E-4
4.801310417E-1,2.435983624E-4,-8.649332449E-5,-6.708317087E-4
4.901170417E-1,-1.863088692E-4,-3.114035353E-4,-8.537357207E-4
5.001030417E-1,-7.935095928E-4,1.016715076E-3,1.004748920E-4
5.100890417E-1,8.020632085E-4,7.365932688E-4,-1.494193915E-3
5.200750417E-1,9.037959971E-4,3.770664334E-4,-1.053174492E-3
5.300610417E-1,-4.487991100E-5,1.416437794E-3,1.321133226E-3
5.400470417E-1,3.250331501E-4,-5.492412020E-4,1.801833743E-3
5.500330417E-1,1.050536055E-3,9.526638314E-4,6.877022679E-5
5.600190417E-1,3.906048951E-4,6.999298930E-4,-8.236550493E-4
5.700050417E-1,-6.349033793E-4,-1.431214623E-4,1.398308203E-3
5.799910417E-1,-5.787106929E-4,-7.223589346E-4,1.796457218E-4
5.899770417E-1,1.179805025E-3,-7.910288405E-4,-1.005136874E-3
5.999640417E-1,1.231470378E-3,-8.006161079E-4,-2.365485707E-4
6.099500417E-1,1.407546806E-4,8.165626787E-4,-1.005850383E-3
6.199360417E-1,8.233228582E-4,7.859366015E-4,-1.539051154E-4
6.299220417E-1,8.886322612E-4,6.379256956E-4,-5.353611195E-4
6.399080417E-1,-9.354157373E-5,4.565645941E-4,1.554628252E-4
6.498940417E-1,2.008213196E-3,1.967642456E-4,4.020477936E-4
6.598800417E-1,-4.211222404E-4,-7.404019125E-4,-3.857152187E-4
6.698660417E-1,1.067742705E-3,-5.004762206E-4,-3.244879190E-4
6.798520417E-1,-6.318867672E-4,4.808986560E-4,3.051143722E-5
6.898380417E-1,2.722737845E-4,1.077814959E-3,-5.767740076E-4
6.998240417E-1,-7.642284618E-4,-1.312904526E-3,1.702359295E-3
7.098100417E-1,2.734413720E-4,-5.326955579E-4,2.534093510E-4
7.197970417E-1,-1.622518175E-4,3.163199872E-4,1.048629172E-3
7.297830417E-1,1.038362505E-3,7.077576593E-4,8.531024796E-4
7.397690417E-1,1.471392345E-3,1.145847607E-3,-1.232124050E-4
7.497550417E-1,7.901209756E-4,-7.209249306E-4,1.640181057E-3
7.597410417E-1,5.208753864E-4,2.194372937E-4,-6.991397240E-4
7.697270417E-1,6.762213307E-4,2.691247500E-4,8.957810933E-4
7.797130417E-1,1.086081844E-3,3.934940323E-4,-6.668531569E-5
7.896990417E-1,4.908124683E-4,7.396424189E-5,-6.004039897E-4
7.996850417E-1,6.253020838E-4,4.835585132E-4,-6.731082685E-4
8.096710417E-1,-4.676009121E-4,2.420311794E-4,-2.312361903E-4
8.196552917E-1,-2.348406706E-4,3.426983021E-4,-6.509503582E-4
8.296412917E-1,1.326428959E-3,4.114252515E-4,-9.018204873E-4
8.396272917E-1,3.636962501E-4,-8.445512503E-5,1.385302283E-3
8.496142917E-1,-2.322268556E-4,-8.824318647E-4,9.115542052E-4
8.596002917E-1,6.633941666E-4,-4.478041083E-4,1.285195700E-3
8.695862917E-1,-1.343741780E-3,4.055346362E-4,-5.060725962E-4
8.795722917E-1,-2.760804491E-4,1.699031796E-3,-7.489529089E-4
8.895582917E-1,2.715776209E-4,-7.574867923E-4,-1.050487161E-3
8.995442917E-1,8.355849423E-5,-6.184696686E-4,-6.901615416E-4
9.095302917E-1,1.125813578E-3,1.102093142E-3,4.268017074E-4
9.195162917E-1,4.570938181E-4,1.163345762E-3,-1.303720404E-3
9.295022917E-1,-4.650425399E-5,-6.272862665E-4,-1.568358857E-3
9.394882917E-1,-7.634271751E-4,6.327126175E-5,-1.491602889E-4
9.494742917E-1,9.557959856E-4,1.967285760E-3,-7.559359074E-4
9.594602917E-1,2.665698994E-4,8.034841157E-4,6.488815998E-4
9.694472917E-1,1.223152503E-5,-4.582698457E-4,2.237766166E-4
9.794332917E-1,1.049532788E-3,9.036711417E-4,6.165928789E-4
9.894192917E-1,8.668351220E-4,1.270095352E-3,-6.064918125E-4
9.994052917E-1,-2.261262271E-4,3.265370615E-4,-5.921106786E-4
1.009391292E0,-1.737590414E-3,-5.755592138E-4,-5.216658465E-4
1.019377292E0,1.796192955E-4,-7.292237133E-4,2.170950174E-4
1.029363292E0,1.156463986E-4,1.603806857E-3,3.322439734E-4
1.039349292E0,-4.867068492E-5,-4.881061614E-4,-1.265919069E-3
1.049335292E0,1.108054654E-3,-5.761687644E-4,8.933263016E-4
1.059321292E0,4.380033351E-4,-1.841518097E-4,-2.086897439E-4
1.069307292E0,3.454240505E-5,-8.121274877E-4,2.209325612E-4
1.079293292E0,-5.745224771E-4,1.264339313E-3,-7.617739029E-4
1.089279292E0,3.460358130E-4,4.962058738E-4,6.507352809E-4
1.099266292E0,-1.018834184E-3,-1.430591103E-3,5.436762003E-4
1.109252292E0,1.093031140E-3,-2.841730602E-4,7.854995783E-4
1.119238292E0,-4.444116494E-4,-3.756443039E-5,1.222524326E-3
1.129224292E0,-2.524193260E-4,5.382164381E-4,1.761339721E-3
1.139210292E0,-2.082108404E-4,9.160442278E-5,1.501681400E-3
1.149196292E0,6.982856430E-4,-2.016071230E-4,-2.869105083E-4
1.159182292E0,8.892342448E-4,-1.315660775E-4,-4.695969983E-5
1.169168292E0,-4.935081815E-4,5.363579839E-5,7.419945905E-4
1.179154292E0,-2.839174122E-4,3.513772972E-4,-3.744025889E-4
1.189140292E0,2.430472523E-5,-4.055812024E-4,-2.469238127E-3
1.199126292E0,7.250800263E-5,1.493189484E-5,-2.478954848E-4
1.209112292E0,2.067965688E-4,2.098586410E-4,5.228209775E-4
1.219099292E0,-9.799079271E-4,5.646049976E-5,1.093536383E-3
1.229085292E0,-2.740404452E-4,1.491733361E-3,4.008653341E-4
1.239071292E0,-3.613921581E-4,-9.285474662E-4,7.345593767E-4
1.249057292E0,-2.968518529E-4,8.974969387E-4,1.095051761E-3
1.259043292E0,1.447170507E-5,-4.313187674E-5,5.419133231E-4
1.269029292E0,-4.502158845E-4,5.045672879E-5,-6.907527568E-4
1.279015292E0,-4.299758584E-4,-5.077417009E-4,2.127670683E-3
1.289001292E0,-1.074813772E-3,9.366120212E-4,3.062763426E-4
1.298987292E0,-1.171411132E-4,1.040209085E-3,1.025862526E-3
1.308973292E0,1.231428934E-3,-3.301119432E-5,-2.900799736E-4
1.318959292E0,-8.061555563E-4,-9.334257338E-4,-8.480121614E-4
