"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.078504167E-2,1.215452495E-2,-1.101104711E-2,-8.738722265E-2
2.077104166E-2,1.482360531E-3,-7.205249760E-3,-8.799474835E-3
3.075704166E-2,1.702462519E-3,-9.034806993E-3,-3.813729465E-2
4.074304167E-2,-4.522821307E-3,-1.396516096E-3,-1.613305271E-2
5.072904166E-2,1.048541897E-2,3.876210619E-3,-9.397060275E-3
6.071504166E-2,3.621034473E-3,-7.939970680E-4,-2.062312961E-2
7.070104167E-2,1.392640488E-2,-5.325159794E-3,-1.418651462E-2
8.068704166E-2,-3.302918533E-3,-6.689351751E-3,-1.149211764E-2
9.067304166E-2,2.068671808E-3,-7.558695674E-3,-1.104305148E-2
1.006590417E-1,1.057953173E-3,1.522473344E-2,-2.002437472E-2
1.106460417E-1,-2.415037109E-3,-3.830474429E-3,-2.511379123E-2
1.206320417E-1,-1.236667838E-3,-2.746263603E-3,-5.505153537E-3
1.306180417E-1,-2.116920473E-3,-4.536690172E-3,5.571811795E-3
1.406040417E-1,7.979019117E-3,3.388963966E-3,-1.508464694E-2
1.505900417E-1,-6.180598307E-4,3.241202999E-3,-2.885600924E-2
1.605760417E-1,-1.309313097E-2,1.566962432E-4,-2.212001681E-2
1.705620417E-1,-9.752616668E-3,-9.044491444E-3,-2.301697969E-2
1.805480417E-1,-2.723943684E-3,-1.798750629E-2,-2.496234834E-2
1.905340417E-1,7.315287050E-3,-6.644885503E-3,-2.092016816E-2
2.005200417E-1,-1.552454028E-3,-1.800010521E-3,-1.313576996E-2
2.105060417E-1,-1.083553014E-2,-5.509593766E-3,-1.388479829E-2
2.204920417E-1,-3.765378473E-3,4.078231920E-3,-2.062020600E-2
2.304790417E-1,8.342332207E-5,-5.191587461E-3,-6.699739695E-3
2.404650417E-1,1.434181301E-2,-8.793865163E-3,-1.657919526E-2
2.504510417E-1,2.872298509E-3,7.521474492E-3,-1.388421357E-2
2.604370417E-1,1.233877620E-2,-2.218515845E-3,-1.852397919E-2
2.704230417E-1,-5.149423555E-3,-6.299808417E-3,-9.691759944E-3
2.804090417E-1,-8.860103153E-3,-7.880036719E-5,-3.334199309E-2
2.903950417E-1,-1.812910940E-4,2.330681887E-3,-4.152692556E-3
3.003810417E-1,5.810113242E-3,-1.112624640E-2,5.876451731E-3
3.103670417E-1,6.193133276E-3,-8.587467587E-3,-1.627806365E-2
3.203530417E-1,5.834205598E-3,8.136491943E-3,-1.463148773E-2
3.303390417E-1,-6.050132308E-3,2.856373983E-3,-9.841448665E-3
3.403250417E-1,5.601943228E-3,-2.256056797E-3,-9.691759944E-3
3.503120417E-1,-8.685307950E-4,-1.873311765E-2,-1.328487396E-2
3.602980417E-1,6.827071952E-3,5.172501784E-3,-2.376191497E-2
3.702840417E-1,2.655348536E-3,-1.884155609E-3,-1.822343230E-2
3.802700417E-1,3.402823694E-3,-4.485645806E-3,-1.897129118E-2
3.902560417E-1,6.875567297E-3,-2.662310377E-3,-2.465946257E-2
4.002420417E-1,-8.261686312E-3,6.128183501E-3,-8.792458177E-3
4.102280417E-1,-4.189146291E-3,-1.442668900E-2,-1.328253508E-2
4.202140417E-1,2.456164962E-2,8.272531070E-4,-1.747323453E-2
